Date,Open,High,Low,Close,Adj Close,Volume
1999-01-25,0.442708,0.458333,0.410156,0.453125,0.415743,51048000
1999-01-26,0.458333,0.467448,0.411458,0.417969,0.383487,34320000
1999-01-27,0.419271,0.429688,0.395833,0.416667,0.382293,24436800
1999-01-28,0.416667,0.419271,0.412760,0.415365,0.381098,22752000
1999-01-29,0.415365,0.416667,0.395833,0.395833,0.363177,24403200
1999-02-01,0.395833,0.406250,0.395833,0.403646,0.370346,15470400
1999-02-02,0.395833,0.406250,0.360677,0.372396,0.341674,26409600
1999-02-03,0.367188,0.385417,0.364583,0.380208,0.348841,7512000
1999-02-04,0.385417,0.411458,0.380208,0.401042,0.367957,18192000
1999-02-05,0.407552,0.416667,0.397135,0.412760,0.378708,13684800
1999-02-08,0.415365,0.416667,0.398438,0.398438,0.365567,15408000
1999-02-09,0.406250,0.408854,0.377604,0.382813,0.351232,8697600
1999-02-10,0.382813,0.393229,0.372396,0.378906,0.347647,14822400
1999-02-11,0.380208,0.427083,0.380208,0.411458,0.377513,13224000
1999-02-12,0.416667,0.437500,0.416667,0.434896,0.399018,10972800
1999-02-16,0.442708,0.460938,0.393229,0.437500,0.401407,21100800
1999-02-17,0.427083,0.432292,0.406250,0.414063,0.379903,6772800
1999-02-18,0.427083,0.432292,0.408854,0.420573,0.385876,7070400
1999-02-19,0.416667,0.442708,0.411458,0.434896,0.399018,7536000
1999-02-22,0.442708,0.447917,0.414063,0.437500,0.401407,20524800
1999-02-23,0.447917,0.467448,0.421875,0.458333,0.420521,13809600
1999-02-24,0.526042,0.546875,0.483073,0.494792,0.453972,61276800
1999-02-25,0.515625,0.531250,0.471354,0.479167,0.439636,14913600
1999-02-26,0.484375,0.500000,0.453125,0.457031,0.419327,17260800
1999-03-01,0.468750,0.479167,0.437500,0.459635,0.421716,9216000
1999-03-02,0.458333,0.460938,0.447917,0.455729,0.418132,5524800
1999-03-03,0.458333,0.458333,0.421875,0.424479,0.389460,6139200
1999-03-04,0.445313,0.447917,0.411458,0.415365,0.381098,5736000
